formulas,mpid,Wf,label,A-A,A-B,A-C,B-B,B-C,C-C,lattice constant,N,k,n_A,n_B,n_C,ionic r_A,ionic r_B,ionic r_C,electronegativity_A,electronegativity_B,electronegativity_C,r_A,r_B,r_C,m_A,m_B,m_C,group_A,group_B,group_C,period_A,period_B,period_C,absolute boiling point_A,absolute boiling point_B,absolute boiling point_C,absolute melting point_A,absolute melting point_B,absolute melting point_C,covalent r_A,covalent r_B,covalent r_C,s_A,s_B,s_C,p_A,p_B,p_C,d_A,d_B,d_C,electron affinity_A,electron affinity_B,electron affinity_C,first ionization energy_A,first ionization energy_B,first ionization energy_C,heat of fusion_A,heat of fusion_B,heat of fusion_C,heat of vaporization_A,heat of vaporization_B,heat of vaporization_C,polarizability_A,polarizability_B,polarizability_C,atomic number_A,atomic number_B,atomic number_C,3d,second ionization energy_A,second ionization energy_B,second ionization energy_C,boiling point_A,boiling point_B,boiling point_C,melting point_A,melting point_B,melting point_C
Mo2Cl8O,mp-653062,6.01,1,3.49675206,2.37758464,1.9075221,5,5,5,10.01309967,22,0.455140894,2,8,1,59,181,140,2.16,3.16,3.44,139,99,73,95.9,35.4,16,6,17,16,5,3,2,4912,239.11,90.2,2896,171.6,54.8,154,102,66,1,2,2,0,5,4,5,0,0,71.9,349,141,684.3,1251.2,1313.9,36,3.2,0.22,600,10.2,3.41,12.8,2.18,0.8,42,17,8,FALSE,1560,2298,3388.3,4639,-34.04,-182.9,2623,-101.5,-218.3
Mo2NCl7,mp-542135,6.12,1,2.782543424,1.860319566,2.425956804,5,5,5,12.25959969,20,0.612979984,2,1,7,59,16,181,2.16,3.04,3.16,139,75,99,95.9,14,35.4,6,15,17,5,2,3,4912,77.36,239.11,2896,63.05,171.6,154,71,102,1,2,2,0,3,5,5,0,0,71.9,7,349,684.3,1402.3,1251.2,36,0.36,3.2,600,2.79,10.2,12.8,1.1,2.18,42,7,17,FALSE,1560,2856,2298,4639,-195.79,-34.04,2623,-210.1,-101.5
Mo2NCl8,mp-680309,6.1,1,5,1.886495515,2.401287623,5,5,5,10.24670029,22,0.465759104,2,1,8,59,16,181,2.16,3.04,3.16,139,75,99,95.9,14,35.4,6,15,17,5,2,3,4912,77.36,239.11,2896,63.05,171.6,154,71,102,1,2,2,0,3,5,5,0,0,71.9,7,349,684.3,1402.3,1251.2,36,0.36,3.2,600,2.79,10.2,12.8,1.1,2.18,42,7,17,FALSE,1560,2856,2298,4639,-195.79,-34.04,2623,-210.1,-101.5
Mo3N2Cl11,mp-680300,6.15,1,5,1.890892768,2.420442749,5,5,5,13.34759998,32,0.417112499,3,2,11,59,16,181,2.16,3.04,3.16,139,75,99,95.9,14,35.4,6,15,17,5,2,3,4912,77.36,239.11,2896,63.05,171.6,154,71,102,1,2,2,0,3,5,5,0,0,71.9,7,349,684.3,1402.3,1251.2,36,0.36,3.2,600,2.79,10.2,12.8,1.1,2.18,42,7,17,FALSE,1560,2856,2298,4639,-195.79,-34.04,2623,-210.1,-101.5
Mo3S7Cl4,mp-640341,6.17,1,2.746967516,2.441076909,2.490777418,2.022359263,5,5,12.23900032,28,0.437107154,3,7,4,59,184,181,2.16,2.58,3.16,139,102,99,95.9,32.1,35.4,6,16,17,5,3,3,4912,717.87,239.11,2896,388.36,171.6,154,105,102,1,2,2,0,4,5,5,0,0,71.9,200,349,684.3,999.6,1251.2,36,1.73,3.2,600,9.8,10.2,12.8,2.9,2.18,42,16,17,FALSE,1560,2252,2298,4639,444.72,-34.04,2623,115.21,-101.5
MoCl3O,mp-25062,5.98,1,5,2.489473396,1.685409407,5,5,5,6.239299774,10,0.623929977,1,3,1,59,181,140,2.16,3.16,3.44,139,99,73,95.9,35.4,16,6,17,16,5,3,2,4912,239.11,90.2,2896,171.6,54.8,154,102,66,1,2,2,0,5,4,5,0,0,71.9,349,141,684.3,1251.2,1313.9,36,3.2,0.22,600,10.2,3.41,12.8,2.18,0.8,42,17,8,FALSE,1560,2298,3388.3,4639,-34.04,-182.9,2623,-101.5,-218.3
MoOF4,mp-504575,9.88,1,5,1.683277568,1.996877947,5,5,5,5.630400181,12,0.469200015,1,1,4,59,140,133,2.16,3.44,3.98,139,73,71,95.9,16,18.9,6,16,17,5,2,2,4912,90.2,85.03,2896,54.8,53.5,154,66,57,1,2,2,0,4,5,5,0,0,71.9,141,328,684.3,1313.9,1681,36,0.22,0.26,600,3.41,3.27,12.8,0.8,0.56,42,8,9,FALSE,1560,3388.3,3374.2,4639,-182.9,-188.12,2623,-218.3,-219.6
MoS2Cl3,mp-27866,6.82,1,2.848175908,2.440371275,2.488193036,1.998900682,5,5,6.236199856,12,0.519683321,1,2,3,59,184,181,2.16,2.58,3.16,139,102,99,95.9,32.1,35.4,6,16,17,5,3,3,4912,717.87,239.11,2896,388.36,171.6,154,105,102,1,2,2,0,4,5,5,0,0,71.9,200,349,684.3,999.6,1251.2,36,1.73,3.2,600,9.8,10.2,12.8,2.9,2.18,42,16,17,FALSE,1560,2252,2298,4639,444.72,-34.04,2623,115.21,-101.5
Nb2OF8,mp-758829,9.83,1,3.220364514,1.950481578,1.971621809,5,5,5,9.34980011,22,0.424990914,2,1,8,64,140,133,1.6,3.44,3.98,146,73,71,92.9,16,18.9,5,16,17,5,2,2,5017,90.2,85.03,2750,54.8,53.5,164,66,57,1,2,2,0,4,5,4,0,0,86.1,141,328,652.1,1313.9,1681,26.8,0.22,0.26,690,3.41,3.27,15.7,0.8,0.56,41,8,9,FALSE,1380,3388.3,3374.2,4744,-182.9,-188.12,2477,-218.3,-219.6
Nb3Se10Br3,mp-567731,5.57,1,3.107511464,2.679276604,2.711133987,2.348606342,5,5,19.61800003,32,0.613062501,3,10,3,64,198,196,1.6,2.55,2.96,146,116,114,92.9,78.9,79.9,5,16,17,5,4,4,5017,958,332,2750,494,265.8,164,120,120,1,2,2,0,4,5,4,10,10,86.1,195,324.6,652.1,941,1139.9,26.8,5.4,5.8,690,26,14.8,15.7,3.77,3.05,41,34,35,FALSE,1380,2045,2103,4744,685,59,2477,221,-7.3
Nb3Se10Cl3,mp-571061,5.53,1,3.130648771,2.688457847,2.523715016,2.339560633,5,5,19.34410095,32,0.604503155,3,10,3,64,198,181,1.6,2.55,3.16,146,116,99,92.9,78.9,35.4,5,16,17,5,4,3,5017,958,239.11,2750,494,171.6,164,120,102,1,2,2,0,4,5,4,10,0,86.1,195,349,652.1,941,1251.2,26.8,5.4,3.2,690,26,10.2,15.7,3.77,2.18,41,34,17,FALSE,1380,2045,2298,4744,685,-34.04,2477,221,-101.5
Nb3Se5Cl7,mp-540615,5.7,1,3.270692361,2.60851563,2.589306373,2.311364547,5,5,12.77330017,30,0.425776672,3,5,7,64,198,181,1.6,2.55,3.16,146,116,99,92.9,78.9,35.4,5,16,17,5,4,3,5017,958,239.11,2750,494,171.6,164,120,102,1,2,2,0,4,5,4,10,0,86.1,195,349,652.1,941,1251.2,26.8,5.4,3.2,690,26,10.2,15.7,3.77,2.18,41,34,17,FALSE,1380,2045,2298,4744,685,-34.04,2477,221,-101.5
Nb6SI9,mp-654051,4.52,1,3.045005362,2.476513675,2.898892109,5,5,5,12.03269959,32,0.376021862,6,1,9,64,184,220,1.6,2.58,2.66,146,102,133,92.9,32.1,126.9,5,16,17,5,3,5,5017,717.87,457.4,2750,388.36,386.85,164,105,139,1,2,2,0,4,5,4,0,10,86.1,200,295.2,652.1,999.6,1008.4,26.8,1.73,7.76,690,9.8,20.9,15.7,2.9,4.7,41,16,53,FALSE,1380,2252,1845.9,4744,444.72,184.3,2477,115.21,113.7
NbBr3O,mp-606393,7.06,1,5,2.594332682,2.000997084,5,5,5,3.993299961,10,0.399329996,1,3,1,64,196,140,1.6,2.96,3.44,146,114,73,92.9,79.9,16,5,17,16,5,4,2,5017,332,90.2,2750,265.8,54.8,164,120,66,1,2,2,0,5,4,4,10,0,86.1,324.6,141,652.1,1139.9,1313.9,26.8,5.8,0.22,690,14.8,3.41,15.7,3.05,0.8,41,35,8,FALSE,1380,2103,3388.3,4744,59,-182.9,2477,-7.3,-218.3
NbCl3O,mp-556422,8.06,1,5,2.437848768,2.001648716,5,5,5,3.992399931,10,0.399239993,1,3,1,64,181,140,1.6,3.16,3.44,146,99,73,92.9,35.4,16,5,17,16,5,3,2,5017,239.11,90.2,2750,171.6,54.8,164,102,66,1,2,2,0,5,4,4,0,0,86.1,349,141,652.1,1251.2,1313.9,26.8,3.2,0.22,690,10.2,3.41,15.7,2.18,0.8,41,17,8,FALSE,1380,2298,3388.3,4744,-34.04,-182.9,2477,-101.5,-218.3
NbI3O,mp-546285,5.74,1,5,2.810898681,2.008018564,5,5,5,4.012499809,10,0.401249981,1,3,1,64,220,140,1.6,2.66,3.44,146,133,73,92.9,126.9,16,5,17,16,5,5,2,5017,457.4,90.2,2750,386.85,54.8,164,139,66,1,2,2,0,5,4,4,10,0,86.1,295.2,141,652.1,1008.4,1313.9,26.8,7.76,0.22,690,20.9,3.41,15.7,4.7,0.8,41,53,8,FALSE,1380,1845.9,3388.3,4744,184.3,-182.9,2477,113.7,-218.3
NbOF3,mp-753785,9.21,1,3.474194147,1.985026398,2.005910934,5,5,5,3.959000111,10,0.395900011,1,1,3,64,140,133,1.6,3.44,3.98,146,73,71,92.9,16,18.9,5,16,17,5,2,2,5017,90.2,85.03,2750,54.8,53.5,164,66,57,1,2,2,0,4,5,4,0,0,86.1,141,328,652.1,1313.9,1681,26.8,0.22,0.26,690,3.41,3.27,15.7,0.8,0.56,41,8,9,FALSE,1380,3388.3,3374.2,4744,-182.9,-188.12,2477,-218.3,-219.6
NbSbF10,mp-27472,10.13,1,5,5,1.968289804,5,1.939057945,5,5.793399811,12,0.482783318,1,1,10,64,76,133,1.6,2.05,3.98,146,138,71,92.9,121.7,18.9,5,15,17,5,5,2,5017,1860,85.03,2750,903.78,53.5,164,139,57,1,2,2,0,3,5,4,10,0,86.1,103.2,328,652.1,834,1681,26.8,19.7,0.26,690,67,3.27,15.7,6.6,0.56,41,51,9,FALSE,1380,1594.9,3374.2,4744,1587,-188.12,2477,630.63,-219.6
NbSeBr3,mp-23498,5.59,1,2.868926242,2.645606503,2.669345282,2.328840488,5,5,12.81449986,20,0.640724993,1,1,3,64,198,196,1.6,2.55,2.96,146,116,114,92.9,78.9,79.9,5,16,17,5,4,4,5017,958,332,2750,494,265.8,164,120,120,1,2,2,0,4,5,4,10,10,86.1,195,324.6,652.1,941,1139.9,26.8,5.4,5.8,690,26,14.8,15.7,3.77,3.05,41,34,35,FALSE,1380,2045,2103,4744,685,59,2477,221,-7.3
NbSeCl3,mp-570270,5.69,1,2.832142985,2.65922097,2.507166831,2.313932154,5,5,12.20720005,20,0.610360003,1,1,3,64,198,181,1.6,2.55,3.16,146,116,99,92.9,78.9,35.4,5,16,17,5,4,3,5017,958,239.11,2750,494,171.6,164,120,102,1,2,2,0,4,5,4,10,0,86.1,195,349,652.1,941,1251.2,26.8,5.4,3.2,690,26,10.2,15.7,3.77,2.18,41,34,17,FALSE,1380,2045,2298,4744,685,-34.04,2477,221,-101.5
NbSeI3,mp-541817,5.46,1,2.949058181,2.641164588,2.883882938,2.324078556,5,5,13.79459953,20,0.689729977,1,1,3,64,198,220,1.6,2.55,2.66,146,116,133,92.9,78.9,126.9,5,16,17,5,4,5,5017,958,457.4,2750,494,386.85,164,120,139,1,2,2,0,4,5,4,10,10,86.1,195,295.2,652.1,941,1008.4,26.8,5.4,7.76,690,26,20.9,15.7,3.77,4.7,41,34,53,FALSE,1380,2045,1845.9,4744,685,184.3,2477,221,113.7
NbTeBr3,mp-28038,5.38,1,2.917373428,2.860684577,2.67200079,2.677618061,5,5,12.87139988,20,0.643569994,1,1,3,64,221,196,1.6,2.1,2.96,146,135,114,92.9,127.6,79.9,5,16,17,5,5,4,5017,1261,332,2750,722.66,265.8,164,138,120,1,2,2,0,4,5,4,10,10,86.1,190.2,324.6,652.1,869.3,1139.9,26.8,17.5,5.8,690,48,14.8,15.7,5.5,3.05,41,52,35,FALSE,1380,1790,2103,4744,988,59,2477,449.51,-7.3
NbTeI3,mp-540924,5.22,1,2.990529819,2.84759696,2.888393531,2.685708525,5,5,13.8142004,20,0.69071002,1,1,3,64,221,220,1.6,2.1,2.66,146,135,133,92.9,127.6,126.9,5,16,17,5,5,5,5017,1261,457.4,2750,722.66,386.85,164,138,139,1,2,2,0,4,5,4,10,10,86.1,190.2,295.2,652.1,869.3,1008.4,26.8,17.5,7.76,690,48,20.9,15.7,5.5,4.7,41,52,53,FALSE,1380,1790,1845.9,4744,988,184.3,2477,449.51,113.7
NbXeF11,mp-28135,7.11,1,5,5,1.946426897,5,1.983524688,5,5.552999973,13,0.427153844,1,1,11,64,130,133,1.6,2.6,3.98,146,130,71,92.9,131.2,18.9,5,18,17,5,5,2,5017,165.1,85.03,2750,161.3,53.5,164,140,57,1,2,2,0,6,5,4,10,0,86.1,0,328,652.1,1170.4,1681,26.8,2.3,0.26,690,12.64,3.27,15.7,4.04,0.56,41,54,9,FALSE,1380,2046.4,3374.2,4744,-108,-188.12,2477,-111.8,-219.6
OsO2F3,mp-557705,7.17,1,5,1.706753889,2.007955528,5,5,5,5.262199879,12,0.438516657,1,2,3,63,140,133,2.2,3.44,3.98,135,73,71,190.2,16,18.9,8,16,17,6,2,2,5285,90.2,85.03,3306,54.8,53.5,144,66,57,2,2,2,0,4,5,6,0,0,106.1,141,328,840,1313.9,1681,31,0.22,0.26,630,3.41,3.27,8.5,0.8,0.56,76,8,9,FALSE,1600,3388.3,3374.2,5012,-182.9,-188.12,3033,-218.3,-219.6
OsO3F2,mp-28845,9,1,5,1.714575677,2.078525775,5,5,5,5.172800064,12,0.431066672,1,3,2,63,140,133,2.2,3.44,3.98,135,73,71,190.2,16,18.9,8,16,17,6,2,2,5285,90.2,85.03,3306,54.8,53.5,144,66,57,2,2,2,0,4,5,6,0,0,106.1,141,328,840,1313.9,1681,31,0.22,0.26,630,3.41,3.27,8.5,0.8,0.56,76,8,9,FALSE,1600,3388.3,3374.2,5012,-182.9,-188.12,3033,-218.3,-219.6
OsOF4,mp-561449,7.44,1,5,1.683490047,1.961460266,5,5,5,5.708300114,12,0.475691676,1,1,4,63,140,133,2.2,3.44,3.98,135,73,71,190.2,16,18.9,8,16,17,6,2,2,5285,90.2,85.03,3306,54.8,53.5,144,66,57,2,2,2,0,4,5,6,0,0,106.1,141,328,840,1313.9,1681,31,0.22,0.26,630,3.41,3.27,8.5,0.8,0.56,76,8,9,FALSE,1600,3388.3,3374.2,5012,-182.9,-188.12,3033,-218.3,-219.6
PAuCl4,mp-23355,6.2,1,5,2.22449301,2.029668685,5,2.287095291,5,6.57310009,12,0.547758341,1,1,4,17,85,181,2.19,2.4,3.16,106,144,99,31,197,35.4,15,11,17,3,6,3,553.6,3129,239.11,317.3,1337.33,171.6,107,136,102,2,1,2,3,0,5,0,10,0,71,222.8,349,1011.8,890.1,1251.2,0.64,12.5,3.2,12.4,330,10.2,3.63,5.8,2.18,15,79,17,FALSE,1907,1980,2298,280.5,2856,-34.04,44.2,1064.18,-101.5
PAuS4,mp-30938,6.14,1,5,5,2.056593163,5,2.378208743,5,12.50389957,12,1.041991631,1,1,4,17,85,184,2.19,2.4,2.58,106,144,102,31,197,32.1,15,11,16,3,6,3,553.6,3129,717.87,317.3,1337.33,388.36,107,136,105,2,1,2,3,0,4,0,10,0,71,222.8,200,1011.8,890.1,999.6,0.64,12.5,1.73,12.4,330,9.8,3.63,5.8,2.9,15,79,16,FALSE,1907,1980,2252,280.5,2856,444.72,44.2,1064.18,115.21
Pb(BrO3)2,mp-769016,6.96,1,5,5,5,5,1.70115381,5,6.202199936,18,0.344566663,1,2,6,119,196,140,1.8,2.96,3.44,175,114,73,207.2,79.9,16,14,17,16,6,4,2,2022,332,90.2,600.61,265.8,54.8,146,120,66,2,2,2,2,5,4,10,10,0,35.1,324.6,141,715.6,1139.9,1313.9,4.77,5.8,0.22,178,14.8,3.41,6.8,3.05,0.8,82,35,8,FALSE,1450.5,2103,3388.3,1749,59,-182.9,327.46,-7.3,-218.3
Pb(CO2)2,mp-22747,6.56,1,5,5,2.477098906,1.556429198,1.269020391,5,8.981100082,14,0.641507149,1,2,4,119,16,140,1.8,2.55,3.44,175,77,73,207.2,12,16,14,14,16,6,2,2,2022,4300,90.2,600.61,3823,54.8,146,76,66,2,2,2,2,2,4,10,0,0,35.1,153.9,141,715.6,1086.5,1313.9,4.77,105,0.22,178,715,3.41,6.8,1.76,0.8,82,6,8,FALSE,1450.5,2352.6,3388.3,1749,4027,-182.9,327.46,3550,-218.3
Pb(IO3)2,mp-28857,9.47,1,5,5,2.429058568,5,1.85210773,5,6.166399956,18,0.342577775,1,2,6,119,220,140,1.8,2.66,3.44,175,133,73,207.2,126.9,16,14,17,16,6,5,2,2022,457.4,90.2,600.61,386.85,54.8,146,139,66,2,2,2,2,5,4,10,10,0,35.1,295.2,141,715.6,1008.4,1313.9,4.77,7.76,0.22,178,20.9,3.41,6.8,4.7,0.8,82,53,8,FALSE,1450.5,1845.9,3388.3,1749,184.3,-182.9,327.46,113.7,-218.3
Pb3(BrO)2,mp-505284,5.93,1,5,2.822731412,2.359950722,5,5,5,5.989600182,14,0.427828584,3,2,2,119,196,140,1.8,2.96,3.44,175,114,73,207.2,79.9,16,14,17,16,6,4,2,2022,332,90.2,600.61,265.8,54.8,146,120,66,2,2,2,2,5,4,10,10,0,35.1,324.6,141,715.6,1139.9,1313.9,4.77,5.8,0.22,178,14.8,3.41,6.8,3.05,0.8,82,35,8,FALSE,1450.5,2103,3388.3,1749,59,-182.9,327.46,-7.3,-218.3
Pb3(IO)2,mp-619661,5.88,1,5,3.10752299,2.366702431,5,5,5,6.006299973,14,0.429021427,3,2,2,119,220,140,1.8,2.66,3.44,175,133,73,207.2,126.9,16,14,17,16,6,5,2,2022,457.4,90.2,600.61,386.85,54.8,146,139,66,2,2,2,2,5,4,10,10,0,35.1,295.2,141,715.6,1008.4,1313.9,4.77,7.76,0.22,178,20.9,3.41,6.8,4.7,0.8,82,53,8,FALSE,1450.5,1845.9,3388.3,1749,184.3,-182.9,327.46,113.7,-218.3
Pb4SeBr6,mp-655489,6.59,1,5,2.821888881,3.010612039,5,5,5,4.382199764,11,0.398381797,4,1,6,119,198,196,1.8,2.55,2.96,175,116,114,207.2,78.9,79.9,14,16,17,6,4,4,2022,958,332,600.61,494,265.8,146,120,120,2,2,2,2,4,5,10,10,10,35.1,195,324.6,715.6,941,1139.9,4.77,5.4,5.8,178,26,14.8,6.8,3.77,3.05,82,34,35,FALSE,1450.5,2045,2103,1749,685,59,327.46,221,-7.3
PbBrCl,mp-22997,6.61,1,5,2.619215189,2.772466952,5,5,5,4.63049984,3,1.543499947,1,1,1,119,196,181,1.8,2.96,3.16,175,114,99,207.2,79.9,35.4,14,17,17,6,4,3,2022,332,239.11,600.61,265.8,171.6,146,120,102,2,2,2,2,5,5,10,10,0,35.1,324.6,349,715.6,1139.9,1251.2,4.77,5.8,3.2,178,14.8,10.2,6.8,3.05,2.18,82,35,17,FALSE,1450.5,2103,2298,1749,59,-34.04,327.46,-7.3,-101.5
PbCN2,mp-19727,5.08,1,5,5,2.522765349,5,1.238490943,5,3.891499996,8,0.4864375,1,1,2,119,16,16,1.8,2.55,3.04,175,77,75,207.2,12,14,14,14,15,6,2,2,2022,4300,77.36,600.61,3823,63.05,146,76,71,2,2,2,2,2,3,10,0,0,35.1,153.9,7,715.6,1086.5,1402.3,4.77,105,0.36,178,715,2.79,6.8,1.76,1.1,82,6,7,FALSE,1450.5,2352.6,2856,1749,4027,-195.79,327.46,3550,-210.1
PbIBr,mp-571465,6.34,1,5,3.104479623,2.844947148,5,5,5,4.397999764,6,0.732999961,1,1,1,119,220,196,1.8,2.66,2.96,175,133,114,207.2,126.9,79.9,14,17,17,6,5,4,2022,457.4,332,600.61,386.85,265.8,146,139,120,2,2,2,2,5,5,10,10,10,35.1,295.2,324.6,715.6,1008.4,1139.9,4.77,7.76,5.8,178,20.9,14.8,6.8,4.7,3.05,82,53,35,FALSE,1450.5,1845.9,2103,1749,184.3,59,327.46,113.7,-7.3
PbS2O3,mp-21904,6.74,1,5,2.875746412,2.360596089,2.099017628,1.481884032,5,7.043900013,12,0.586991668,1,2,3,119,184,140,1.8,2.58,3.44,175,102,73,207.2,32.1,16,14,16,16,6,3,2,2022,717.87,90.2,600.61,388.36,54.8,146,105,66,2,2,2,2,4,4,10,0,0,35.1,200,141,715.6,999.6,1313.9,4.77,1.73,0.22,178,9.8,3.41,6.8,2.9,0.8,82,16,8,FALSE,1450.5,2252,3388.3,1749,444.72,-182.9,327.46,115.21,-218.3
PbSeO3,mp-20716,5.94,1,5,5,2.223687166,5,1.734483056,5,5.651100159,5,1.130220032,1,1,3,119,198,140,1.8,2.55,3.44,175,116,73,207.2,78.9,16,14,16,16,6,4,2,2022,958,90.2,600.61,494,54.8,146,120,66,2,2,2,2,4,4,10,10,0,35.1,195,141,715.6,941,1313.9,4.77,5.4,0.22,178,26,3.41,6.8,3.77,0.8,82,34,8,FALSE,1450.5,2045,3388.3,1749,685,-182.9,327.46,221,-218.3
PbSO3,mp-20507,5.76,1,5,5,2.266427817,5,1.553817028,5,5.545000076,10,0.554500008,1,1,3,119,184,140,1.8,2.58,3.44,175,102,73,207.2,32.1,16,14,16,16,6,3,2,2022,717.87,90.2,600.61,388.36,54.8,146,105,66,2,2,2,2,4,4,10,0,0,35.1,200,141,715.6,999.6,1313.9,4.77,1.73,0.22,178,9.8,3.41,6.8,2.9,0.8,82,16,8,FALSE,1450.5,2252,3388.3,1749,444.72,-182.9,327.46,115.21,-218.3
PbSO4,mp-623984,6.83,1,5,5,2.248802421,5,1.504442816,5,5.29090023,6,0.881816705,1,1,4,119,184,140,1.8,2.58,3.44,175,102,73,207.2,32.1,16,14,16,16,6,3,2,2022,717.87,90.2,600.61,388.36,54.8,146,105,66,2,2,2,2,4,4,10,0,0,35.1,200,141,715.6,999.6,1313.9,4.77,1.73,0.22,178,9.8,3.41,6.8,2.9,0.8,82,16,8,FALSE,1450.5,2252,3388.3,1749,444.72,-182.9,327.46,115.21,-218.3
Pd(Se3Br)2,mp-568146,5.98,1,5,2.432547807,2.454912736,2.400375493,5,5,8.667200089,9,0.963022232,1,6,2,64,198,196,2.2,2.55,2.96,137,116,114,106.4,78.9,79.9,10,16,17,5,4,4,3236,958,332,1828.05,494,265.8,139,120,120,0,2,2,0,4,5,10,10,10,53.7,195,324.6,804.4,941,1139.9,16.7,5.4,5.8,380,26,14.8,4.8,3.77,3.05,46,34,35,FALSE,1870,2045,2103,2963,685,59,1554.9,221,-7.3
Pd(Se3Cl)2,mp-29469,6.08,1,5,2.43517158,2.316225812,2.396657592,5,5,8.60229969,9,0.955811077,1,6,2,64,198,181,2.2,2.55,3.16,137,116,99,106.4,78.9,35.4,10,16,17,5,4,3,3236,958,239.11,1828.05,494,171.6,139,120,102,0,2,2,0,4,5,10,10,0,53.7,195,349,804.4,941,1251.2,16.7,5.4,3.2,380,26,10.2,4.8,3.77,2.18,46,34,17,FALSE,1870,2045,2298,2963,685,-34.04,1554.9,221,-101.5
PdSe2O5,mp-4649,5.43,1,5,5,2.036928651,5,1.751179071,5,7.475999832,16,0.46724999,1,2,5,64,198,140,2.2,2.55,3.44,137,116,73,106.4,78.9,16,10,16,16,5,4,2,3236,958,90.2,1828.05,494,54.8,139,120,66,0,2,2,0,4,4,10,10,0,53.7,195,141,804.4,941,1313.9,16.7,5.4,0.22,380,26,3.41,4.8,3.77,0.8,46,34,8,FALSE,1870,2045,3388.3,2963,685,-182.9,1554.9,221,-218.3
PNF2,mp-560008,7.22,1,5,1.560632006,1.56520225,5,5,5,4.999499798,8,0.624937475,1,1,2,17,16,133,2.19,3.04,3.98,106,75,71,31,14,18.9,15,15,17,3,2,2,553.6,77.36,85.03,317.3,63.05,53.5,107,71,57,2,2,2,3,3,5,0,0,0,71,7,328,1011.8,1402.3,1681,0.64,0.36,0.26,12.4,2.79,3.27,3.63,1.1,0.56,15,7,9,FALSE,1907,2856,3374.2,280.5,-195.79,-188.12,44.2,-210.1,-219.6
Rb2CdO2,mp-28364,2.24,1,3.927495582,3.281972267,2.720028814,3.313502965,2.265948306,5,6.386300087,10,0.638630009,2,1,2,161,95,140,0.82,1.69,3.44,248,151,73,85.4,112.4,16,1,12,16,5,5,2,961,1040,90.2,312.46,594.22,54.8,220,144,66,1,2,2,0,0,4,0,10,0,46.9,0,141,403,867.8,1313.9,2.19,6.3,0.22,71,100,3.41,47.3,7.2,0.8,37,48,8,FALSE,2633,1631.4,3388.3,688,767,-182.9,39.31,321.07,-218.3
ReO2F3,mp-641112,9.09,1,5,1.705365221,2.003258663,5,5,5,9.524399757,24,0.39684999,1,2,3,53,140,133,1.9,3.44,3.98,137,73,71,186.2,16,18.9,7,16,17,6,2,2,5869,90.2,85.03,3459,54.8,53.5,151,66,57,2,2,2,0,4,5,5,0,0,14.5,141,328,760,1313.9,1681,33,0.22,0.26,705,3.41,3.27,9.7,0.8,0.56,75,8,9,FALSE,1260,3388.3,3374.2,5596,-182.9,-188.12,3186,-218.3,-219.6
